"id","asset","endDate","owner","percentage","startDate","alephUrl","sharesCurrency","date","description","namesMentioned","indexText","legalBasis","modifiedAt","sharesCount","publisher","publisherUrl","recordId","retrievedAt","role","sourceUrl","status","summary","ownershipType","sharesType","sharesValue"
"07080f225601034b1a96a056cdf99dd9f685acff","9ee5715a3668378ec5343466c8460fea2aba319b","","bf07aafc75d928f82f42bf8e2a1eda9d812acbe2","25.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0763076763a530842a8f92c7cd4b2a7eeb2ecee5","41e53d2cdf94f1ab22fa1336b91b78db435e73fe","","4df9d6f938abab1bb9464a8fe2a0e8f7dcad63ee","50.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"07839d7e6c2776ca9297b44a57bb058f213883ff","1f41d8eceb96c0ec5189e811ebc97763b5a19a1e","","4613cfd8b08cd01bce2108fd03ed49421e96ed05","50.00","","","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"07a08b072898342022ee38c0fd17387c4d0b0c48","ebd52c30cdf40b94d472462d704762d9e75c2ea4","","8524f5a8484f8b193cae23c60e948f40d40d9ab3","2.32","","","","","","","","","","","","","","","","","","","AKTIONÄR","",""
"07e13d2f417fc0c8d4042dbc2f40023438dda1c4","91d37d69ebe7bed93648e110ba8632284da43968","","2f9dbf99e82ccad09800d28fb2d72a7384c26bfd","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"07e14d40cc96f4dca41063cbeba253c02f5a202d","6d890ca99ce3bb084507a40f670269ac7755a0b9","","6d7130be11dc716efde8652c886ffe9eb7550c8f","23.58","","","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"07f2c981aaf2ffdcc7b146ab2d8035edcc04aaf0","aacef2599212a1fa810a2140f5e622ca17edd2c2","","12215cbd314c0f64b4173e3a6622ded83d25cfcb","0.19","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"087f6d1e88236b0888880b5c9588879d47ec4785","c6d322732de2c6e03b6164dd23eefb083113f8d8","","3ab582b31e7ee4f2c91ee22e6de699c16fca742f","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"08b7fb7037708f644943693a1ccff186e25d8b08","ec9ac15a9b9f83922ced7ffcdbf861342db0235f","","69783a177e60f52d42cb9465a0406077e8b9432c","93.91","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"08bbdd1be5ef5bc38ec78d3ef27cc195e7437797","c4b9895a68bb79f2de80ee794f8b2a2613887104","","a7ad7d6e889fb9e58e0d7b470eeec08e5a646da4","62.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"08ebe776f49d4d29cff996d3bb5a5534cbd3dfca","a559eca02736d184815c41bb02d70e2af3ecc776","","2ad2003a1268291bd32b62631689aaa26fe58a6c","60.00","","","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"093a8fe2d962bdb0909de10559eb16b0567ca60b","5c9da766ddf0a2273e570cc5b3eeff79373d22bd","","76b44fbe1d939c08a63e0ec758f702e8c6b78aa1","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"096eb5f6d44ae58697ecf49e318cff47b06b1625","b9138b93d66ffe12c78ef41a267681fb09a934a9","","d80a9d65715fafb9e31a20cebdc240164e4628ba","51.00","","","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"09c95796e05729e7ad88071b6a9daa2c04058ce0","3bc2dbfbecd60967fe7e54d8eceb071f51914e59","","3eff54a492893d16d5c0527aedfcc414fb5529da","3.38","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"09d0d937797b66ef94c180899959a122ed42f873","000d5212acf2fd0ef1ccd3b1ba2534911a200886","","9f14dcf6d6dc04a4aa19d81cfa2ab33524177ad5","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"09df21a3365de0531a7e031646568ba6965f28a3","623955af285db7dbf20514ce4b0b79e3ed3fce20","","0213c5e3356d448cc3d6ee89cf92f93d0d20cb7b","","","","","","","","","","","","","","","","","","","","","",""
"09dfbcb92007423491c9c9d43c014465918d5ea9","e98c51c37941c27fcadb3b2317dc0f49a1376f58","","e903d79fcf3fc738c149683173d88125508cbc3b","0.09","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0a78ad1695cdd35f5df4ea349be0ca118814ba74","4789965b0f07e762ea06c91aa9c82305cd0b24c8","","42266092b839a4a6d1a21fda2de139c15e2e98d7","18.29","","","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"0ac272fd133b3ed09919678466c5f13891fe5e2b","2536502afdd6ad701033f2d78d25878e6cc6e48b","","d80a9d65715fafb9e31a20cebdc240164e4628ba","100.00","","","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"0acaec86d9df336632d57872d93cc206665d121c","7f7ce70dffc893d0b723240187b2598f5483eef1","","b2508a26407c94d07c23ed54716e0480122d2f23","25.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0af18f4bee85fb5783a9d74c76a0babca16f3642","3f135ae9ffb1be23eae7605be5951ba4d322fb44","","408a217a972f1e125f931b5680b2181252962883","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0b2e38531f6e0975dfb93bd218f4cd5b22f56c6f","aacef2599212a1fa810a2140f5e622ca17edd2c2","","a46c2b4b63618df6ae32c9a3e0964ccca956ead3","0.19","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0b3da8ecd35f67e2a3cd1a989edd139f238a1d8d","cdbe94b975a4abf82d7e0ff47c5a11737eb6a455","","0213c5e3356d448cc3d6ee89cf92f93d0d20cb7b","","","","","","","","","","","","","","","","","","","","","",""
"0b3f0fa57a01b64282ea06fdcfa5c1eb677edce0","21e3882f30daecce4b4adfcf8952bae3c27f9479","","959ff98982dbd2f0df4f024bdc372013eec9a020","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0b4329ffb633aeacefb562d86d1e3e258da24ee8","484e4d68c569d91d4302666c2c8f0b51666aa656","","f73404a5d78b77f0f3b8151d3f3dd57534636ae8","58.90","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0b4b6d71b54d0c19f98ab5dc93db3d77497184c4","df5500315c96f547c602ee67741cd6704e87b862","","2ad2003a1268291bd32b62631689aaa26fe58a6c","100.00","","","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"0b5ed0d33158afc8f439205f47e844f7af794b4d","b91ab1e9cafaacc152299e699c1b8df9cc58358a","","843bd8be249e983246d0e85aa2e27aaa620be68a","2.52","","","","","","","","","","","","","","","","","","","AKTIONÄR","",""
"0ba049faf1893201bc04d422d3e1fff78b3a5c9f","210b2c2bd542c27a71c20954e32c1b63bdb68742","","223868a5a641ba271ffe68eea9df71c1873ebc6f","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0bfead18c44303443e5b3aa053c294171ff23b6f","57910946671f3119a91feb6c2eb3ad5bfe7022c6","","46dbf034ab079fcc6a4e89cb3cae83e50edc0de9","16.67","","","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"0c2931793c3952c8028996dd53673f141b2f7776","18b8c5abffbb2c313d8738358e0b787ea7ac7e4a","","f837df26052ea540209856c69dac5929d62b1f2b","100.00","","","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"0c56b7cc7bdd7cb940124ad96ee46a8b27bdc484","4882a66751a8c4709bfaa1d67d82bdb929547c14","","dc4055af3baf6fc9a7ca7662dcb1a68384902b2f","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0c5b69a5a8c8dc52c01d1ea7c00bafacbad71ad3","fc267ab74a746a37b4e2f8c54aa6f9181f11ef7e","","6d7130be11dc716efde8652c886ffe9eb7550c8f","70.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0c6585f0f9957d38198a728cd22419c72828b28e","5c9da766ddf0a2273e570cc5b3eeff79373d22bd","","99496dc5aa2fad9c742d5e17245a9ee284d6a5e7","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0d186ae9b0da0dd6fcb861a04aa02dd0dfcbcca9","68caa5ec8ea4312c0de9294eb6a072ec2eb412b4","","4613cfd8b08cd01bce2108fd03ed49421e96ed05","4.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0d1ca9a7a08275e0517f09d140e9a0dd9f13e844","bb905c8c0b469fb05c68a7d27c2172792375cb09","","959ff98982dbd2f0df4f024bdc372013eec9a020","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0d8148613b552a44c9df4a6ee5b610fe793c29f0","9e8e209976673ab026135dac9960529520fb4235","","2ad2003a1268291bd32b62631689aaa26fe58a6c","100.00","","","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"0d81c438c11bacb39769f8249cf1956755f6b284","3fbe72118e948a70c650d5e9e89a529a7ab766b1","","3eff54a492893d16d5c0527aedfcc414fb5529da","9.70","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0d9dbc7d6a77fd858d9ba86708fcd9b1bfd17242","10f5e212a3fc30307a6f1b92a03a53a2fc4794a1","","7053942700d0ddaf1b7fe92ead2bc6f0813d2052","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0da6f79c14d984f224565cbd9322341999a84acb","a229337a3a4e0a5d930285478839faa972828e67","","31cfd3dcc4ab3c9a3956e090e4eb8a931f4322ae","2.03","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0de44778e39715e9a131bb22cc46dede71973b4b","5d791b9a87fad44ff846fe58348673a4c4210849","","83aa9f215e3f997b1a067641cbb935d928183781","27.74","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0e2217783e32ed035da19d621797aa4836cf3889","5073040600c0be10fa2217d5835bf255bf1235fa","","a46c2b4b63618df6ae32c9a3e0964ccca956ead3","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0e25527a24ffbf62c9bbb8fc0190341ff18e8401","bbdf94225a15dbcd8d71e3dd5e3858799a3ae170","","2074ebaaff00a1d2fa461a0e68cb296a2b86be2a","99.90","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0e2ea3e92d890ef725636738365ac287ddb507cf","ab361d8b9694ba73013c8b67aae50df47487f712","","2ad2003a1268291bd32b62631689aaa26fe58a6c","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0e7c8b46aaea400c74af286453a2f1bf6a93e988","e6afa37b7589892126ac8ff8100da5cb18cfd634","","aa8813cc7a8fe8eee8f64d4964726c55f9048a01","17.96","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0e83cce63173aed6840fb0036cda0832634f8dcb","e00c5bc69d11ac839ed2b14b9ccde00ef0af9f0d","","a46c2b4b63618df6ae32c9a3e0964ccca956ead3","25.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0e97d99fbf769ee3cd031e7b62c527fcd5c6b704","51a3164d4dea8b1632d834f00b2ab2eb48706407","","3ab582b31e7ee4f2c91ee22e6de699c16fca742f","8.78","","","","","","","","","","","","","","","","","","","AKTIONÄR","",""
"0e9b81b8e8c51272aaa8c43f632a3e3ebc7c4cbc","c7f74aa5445166d231a306c6b49745f4f44bbd6e","","d78180910340cce13cf09a1924898fb54dc8d961","","","","","","","","","","","","","","","","","","","","KOMMANDITIST","",""
"0eb2b44bd48da9207e187c9c4c696f16bfca3d82","0a24e71364c34391807e5263f404680f61f03972","","d5abd6bf591515cb0db94ccc906835ab14f4d52b","13.50","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0f09eeb7db8938d84011fc5caa15aca2f6d97c09","21cc899f6adb0994ecf24543efb51d1fe5187dbc","","69783a177e60f52d42cb9465a0406077e8b9432c","100.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0f28fa91a45a1933d45f1abf67e9f7fe562fa396","43c25fac2964a25a4dc723e7c20aeed574e20f40","","8524f5a8484f8b193cae23c60e948f40d40d9ab3","25.00","","","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0f2b1149cd7662af35224b00ee21a070961f1d4c","9298b4bca1fcdd7ccee7dacd3c93a6dab997633c","","2ad2003a1268291bd32b62631689aaa26fe58a6c","100.00","","","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
