"id",":TYPE",":START_ID",":END_ID","endDate","percentage","startDate","alephUrl","sharesCurrency","date","description","legalBasis","modifiedAt","sharesCount","publisher","publisherUrl","recordId","retrievedAt","role","sourceUrl","status","summary","ownershipType","sharesType","sharesValue"
"061110e48aa1f0c6b2d01b0dfe5cba44232f56b9","OWNERSHIP","entity:c8882820029defc8565709a0e350133cc3498a27","entity:31cfd3dcc4ab3c9a3956e090e4eb8a931f4322ae","","95.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"062d4e3191a479446a840b724db12f8b5f03bd38","OWNERSHIP","entity:566b5d9791b7d2cf99aab9eede3d0091fd3e19c7","entity:baa4633b2b7bd3d164484602d0997cc1efa91ef2","","0.23","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"063674cff805619345b617cdcf79a830fbac311e","OWNERSHIP","entity:dbc658d27163e0f373449a9bd342f36f2c23c0b5","entity:18291dad5841910da1a6bcf11c154211fd730ee6","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"06426de0fad5e2ddfeed27840bce7f789cf049cf","OWNERSHIP","entity:49382d1599fae60744395c34532cbc8821bbeea9","entity:a68a857e2b024927c8c37765b4f6087ad9c4265e","","74.80","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"064f87043820ff8eb53fefd44733e3efbfbad0b7","OWNERSHIP","entity:99496dc5aa2fad9c742d5e17245a9ee284d6a5e7","entity:06156c3dfce19c3e829d112f961fefc70a52a955","","51.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"06789cf11292284fdb02fe589f8c25f420ba54ea","OWNERSHIP","entity:fd4120cbfa1473ae8144f7bb019be6e0d8228799","entity:c2ec265420e9772e2acfd5bd40eed47b70760fd9","","85.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0694ce4b994aab32d3d62250ff02e01d58d6ce42","OWNERSHIP","entity:83aa9f215e3f997b1a067641cbb935d928183781","entity:20d7555c40c6d6580fcc8ce0bbf7f34930863b12","","50.00","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"06bb99780d377fed0551a3a44ad20eccee8cfcaa","OWNERSHIP","entity:ade7a40f7537e8b9eb12a67f66e1a0e4c9f5a48a","entity:c36d5885ac717b52c8f3a9a06da6b07930133724","","","","","","","","","","","","","","","","","","","UNBESCHRÄNKT HAFTENDER GESELLSCHAFTER","",""
"06bcfc6c0749c5d410dddba79213f6671aba7fb9","OWNERSHIP","entity:e903d79fcf3fc738c149683173d88125508cbc3b","entity:cf3953d62cfc7b56dfb094d08f19203cca3c8eda","","2.67","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"06c53f1919d59cc0eb17d1208006ca9613b9f6b2","OWNERSHIP","entity:408a217a972f1e125f931b5680b2181252962883","entity:6329e62a2c34706534d1bdea8a67300b4fbcd74b","","99.64","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"06eec384dc0cb5f1ecd84be94aabf7a62a3e2160","OWNERSHIP","entity:bf6ecf354d4a52c75b596094051802813718976e","entity:e511fcdf3cbdb5a2b28d8112d848345131223a05","","40.13","","","","","","","","","","","","","","","","","AKTIONÄR","",""
"07080f225601034b1a96a056cdf99dd9f685acff","OWNERSHIP","entity:bf07aafc75d928f82f42bf8e2a1eda9d812acbe2","entity:9ee5715a3668378ec5343466c8460fea2aba319b","","25.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0732d668983099e5167066939d71874858aebe7c","OWNERSHIP","entity:747980c8a1840d6ed57c9b40eca337a9537f24af","entity:287c337b94a18c75aeb37157025232062eef75e0","","80.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0734edf20b8ff73ef436200328e4bc4324db2872","OWNERSHIP","entity:e1b77badbfaec669ae342009b7d965bf47159284","entity:7732d7b459f48e3dc8b81867f5b3563decff148b","","33.33","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"07626717ffd8894b18a7cab18a2bdc9be4132823","OWNERSHIP","entity:e8fefd76c336b6db799466dc87c640bab9ee29e0","entity:95e156b80a2139f8f4d32880e44c1a5d4a81494b","","15.33","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"0763076763a530842a8f92c7cd4b2a7eeb2ecee5","OWNERSHIP","entity:4df9d6f938abab1bb9464a8fe2a0e8f7dcad63ee","entity:41e53d2cdf94f1ab22fa1336b91b78db435e73fe","","50.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"07839d7e6c2776ca9297b44a57bb058f213883ff","OWNERSHIP","entity:4613cfd8b08cd01bce2108fd03ed49421e96ed05","entity:1f41d8eceb96c0ec5189e811ebc97763b5a19a1e","","50.00","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"079d7475244be956edb28ff3786530a66645c631","OWNERSHIP","entity:8782bf402ab2e722e1150ca125677a6d5a70a782","entity:f7969598fba2998e8f94f8d0d12da56c7cca901b","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"07a08b072898342022ee38c0fd17387c4d0b0c48","OWNERSHIP","entity:8524f5a8484f8b193cae23c60e948f40d40d9ab3","entity:ebd52c30cdf40b94d472462d704762d9e75c2ea4","","2.32","","","","","","","","","","","","","","","","","AKTIONÄR","",""
"07e13d2f417fc0c8d4042dbc2f40023438dda1c4","OWNERSHIP","entity:2f9dbf99e82ccad09800d28fb2d72a7384c26bfd","entity:91d37d69ebe7bed93648e110ba8632284da43968","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"07e14d40cc96f4dca41063cbeba253c02f5a202d","OWNERSHIP","entity:6d7130be11dc716efde8652c886ffe9eb7550c8f","entity:6d890ca99ce3bb084507a40f670269ac7755a0b9","","23.58","","","","","","","","","","","","","","","","","SHAREHOLDER","",""
"07f2c981aaf2ffdcc7b146ab2d8035edcc04aaf0","OWNERSHIP","entity:12215cbd314c0f64b4173e3a6622ded83d25cfcb","entity:aacef2599212a1fa810a2140f5e622ca17edd2c2","","0.19","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"081a2d024197ecbc239e5bbb0fc8d7e4ff37bd09","OWNERSHIP","entity:959ff98982dbd2f0df4f024bdc372013eec9a020","entity:37d690813afc187058348ec86a2ff5f246508614","","99.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"08541f05016fd1d90afc103351dba6414f91e217","OWNERSHIP","entity:3fd627fb4b0ec8f0c5155c1ba2e0bfbcbd34c629","entity:a52c454844397524ad6c42b7e93d293c4d66a99c","","","","","","","","","","","","","","","","","","","","",""
"08bbdd1be5ef5bc38ec78d3ef27cc195e7437797","OWNERSHIP","entity:a7ad7d6e889fb9e58e0d7b470eeec08e5a646da4","entity:c4b9895a68bb79f2de80ee794f8b2a2613887104","","62.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
"08f5725d4945492a024b318712de4b40001a4c4c","OWNERSHIP","entity:3fd627fb4b0ec8f0c5155c1ba2e0bfbcbd34c629","entity:90d5c9777275dce04a30d6abd17be83dc5abaa45","","","","","","","","","","","","","","","","","","","","",""
"091bc8976d3abb097105dfe9ae9a3a5e2f9982dc","OWNERSHIP","entity:8c9ba6e2368f1a6bc0c97656c2787f37b31f64b9","entity:0d9f8184ee9e1a461a3650d5f93528619036a694","","100.00","","","","","","","","","","","","","","","","","GESELLSCHAFTER","",""
